Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp
54 bathtub surround,50,50,30,68.75,0.6,https://bestbath.com/products/tub-surrounds/,0,0,0,1,16000000,"[8,2,4,6,2,15,2,4,15,10,100,2]",1561591985
houzz bathrooms walk in showers,32,32,20,90.57,0,https://bestbath.com/houzz-tour-accessible-design-makes-wheelchair-living-easier/,0,0,0,1,62,"[11,11,11,11,22,11,22,100,44,78,11,33]",1561943731
shower grab bar dimensions,43,43,70,68.92,1.55,https://bestbath.com/product/l-shaped-grab-bar/,0,0,0,1,8560000,"[0,0,0,0,0,14,14,43,100,14,14,14]",1561229503
shower pan parts,75,75,90,78.88,1.08,https://bestbath.com/,0,0,0,1,35000000,"[80,20,20,20,20,20,20,20,100,60,20,80]",1561161697
band skillets commercial,27,27,40,80.89,0,https://bestbath.com/new-60-x-30-shower-pan-side-discharge-drain/,0,0,0,0,1560000,"[100,22,11,0,11,11,11,11,11,11,11,33]",1562609610
36 x 72 shower,43,43,30,79.23,0.87,https://bestbath.com/products/showers/pans/,0,0,0,0.98,89200000,"[100,20,20,20,60,20,40,20,20,100,20,20]",1561588524
drop in bathtub shower combo,64,64,70,81.22,1.47,https://bestbath.com/products/tubs/shower-tub-combos/,0,0,0,1,44400000,"[25,25,25,25,100,50,25,25,25,75,25,25]",1561230497
co op advertising examples,74,74,70,72.83,2.65,https://bestbath.com/wp-content/uploads/2016/04/Co-op-Submittal-Form-2017.pdf,0,0,0,0.25,39700000,"[65,6,6,6,18,12,100,100,6,6,6,6]",1561228424
34 inch shower rod,54,54,90,92.58,0.62,https://bestbath.com/products/accessories/,0,0,0,1,78,"[11,11,22,33,11,11,11,100,56,11,11,11]",1561164290
u tile tub shower solutions,37,37,30,82.03,0.18,https://bestbath.com/faqs/,0,0,0,1,37400000,"[0,33,33,100,100,33,33,33,33,33,33,33]",1561601561
shower stall material options,29,29,20,74.09,3.07,https://bestbath.com/types-shower-pans/,0,0,0,1,8020000,"[14,71,14,29,14,14,29,14,0,29,14,100]",1561776900
mobile home shower pan replacement,79,79,30,66.55,1,https://bestbath.com/,0,0,0,1,8440000,"[8,27,4,8,15,4,100,100,4,4,4,42]",1561586812
period bath com,74,74,70,75.08,0,https://bestbath.com/wp-content/uploads/2016/04/30-Year-Warranty.pdf,0,0,0,0.12,276000000,"[50,100,50,100,50,50,50,50,50,100,50,100]",1561294736
next day access,18,18,260,72.18,0.01,https://bestbath.com/dealer/american-access-inc/,0,0,0,0.01,4640000000,"[82,82,82,67,67,54,67,54,67,82,82,100]",1561031899
building a raised shower base,14,14,20,75.17,0,https://bestbath.com/wp-content/uploads/2018/07/Form2026_AboveRoughFloorPan_NewBrand2015_FINAL.pdf,0,0,0,1,25400000,"[44,100,22,11,56,11,11,11,11,11,11,11]",1561868107
residential handicap bathroom floor plans,84,84,30,75.9,0,https://bestbath.com/,0,0,0,0.95,177000000,"[11,11,11,11,11,56,11,11,11,100,11,33]",1561720658
3 x 4 shower base,8,8,30,77.69,0.76,https://bestbath.com/products/showers/pans/,0,0,0,1,186000000,"[100,20,20,20,80,20,60,20,20,20,20,40]",1561589639
one piece 78,48,48,70,81.85,0,https://bestbath.com/product/single-piece-code-compliant-63-x-38-x-78-shower-beveled-threshold-1-curb-height-lb3s26338a1ftb/,0,0,0,0.01,483000000,"[20,40,20,20,40,20,80,20,20,100,20,20]",1561293238
one piece shower stall 36 x 36,45,45,40,80.75,0.5,https://bestbath.com/products/showers/,0,0,0,1,100,"[80,20,20,20,20,100,20,20,20,20,80,20]",1561457160
tile ready shower pan installation video,27,27,20,69.47,0.81,https://bestbath.com/types-shower-pans/,0,0,0,1,19300000,"[14,0,43,57,14,0,14,57,14,14,100,29]",1561794712
cobalt apartments by prometheus,14,14,20,77.09,0,https://bestbath.com/promotions/free-case-study-cobalt-luxury-apartments/,0,0,0,0.07,48,"[0,0,25,25,25,75,0,0,50,25,100,25]",1561882224
fiberglass grab bar anchoring system kit,29,29,20,71.05,0.57,https://bestbath.com/wp-content/uploads/2016/01/5LBS6030FBE75B.pdf,0,0,0,1,354000,"[42,100,100,54,8,4,4,4,4,12,4,12]",1561799990
bathroom showcase photos,61,61,30,85.58,0.76,https://bestbath.com/product-gallery/,0,0,0,1,23700000,"[29,57,0,14,14,14,71,14,14,14,100,14]",1561589783
74 shower liner,23,23,20,90.66,0.86,https://bestbath.com/product/heavy-duty-vinyl-shower-curtain/,0,0,0,1,76,"[40,100,20,20,40,20,20,40,20,100,80,20]",1561794157
walk in shower construction,62,62,20,79.42,4.53,https://bestbath.com/types-shower-pans/,0,0,0,0.66,74200000,"[33,33,33,33,33,33,33,33,100,33,33,67]",1561771612
48 x 48 shower stall,35,35,30,80.66,0.8,https://bestbath.com/product/barrier-free-72x48-shower-pan-beveled-threshold-1-curb-height/,0,0,0,1,7080000,"[44,1,1,19,1,2,3,5,36,1,100,100]",1561589350
small low baths,83,83,30,63.75,0,https://bestbath.com/,0,0,0,0,122000000,"[0,0,0,0,0,0,100,100,100,0,0,0]",1561726661
rv shower floor pan,90,90,20,69.96,0.37,https://bestbath.com/products/showers/pans/,0,0,0,1,6750000,"[44,11,11,11,11,11,33,11,11,11,11,100]",1561806425
walk in bathtub quotes,38,38,20,63.29,8.84,https://bestbath.com/products/tubs/walk-in-tubs/,0,0,0,0.98,8710000,"[50,75,50,25,100,75,50,25,25,25,25,50]",1561767845
powder room wall color,14,14,40,86.32,1.12,https://bestbath.com/7-striking-paint-colors-powder-room/,0,0,0,0.83,91600000,"[100,14,14,14,14,14,14,57,14,57,14,14]",1561452669
youtube shower drain installation,96,96,50,99.58,0,https://bestbath.com/,0,0,0,0.36,24500000,"[14,14,29,100,14,29,14,71,43,57,14,43]",1561441123
powder room under stairs dimensions,12,12,30,70.01,0,https://bestbath.com/make-room-for-perfect-powder-room/,0,0,0,0.03,8560000,"[20,20,100,20,20,20,20,100,40,60,20,20]",1561713072
installing shower tray on tiled floor,79,79,20,74.87,0,https://bestbath.com/types-shower-pans/,0,0,0,0.56,20500000,"[0,0,0,0,0,20,20,40,20,100,20,20]",1561954489
how to become a shower,91,91,140,80.86,0,https://bestbath.com/,0,0,0,0,496000000,"[65,82,82,65,65,65,82,82,100,100,100,82]",1561107289
three sided shower curtain rods,72,72,30,84.21,0.47,https://bestbath.com/,0,0,0,1,3310000,"[14,29,14,14,14,14,29,14,100,57,29,14]",1561593622
42 x 73,84,84,20,78.41,0,https://bestbath.com/product/single-piece-code-compliant-32x60x73-showertub-combo-2/,0,0,0,0,2600000000,"[25,50,100,25,25,25,25,25,25,25,25,25]",1561832170
large shower stall enclosures,34,34,20,82.42,0,https://bestbath.com/,0,0,0,0,4670000,"[14,100,14,0,14,14,57,100,14,14,14,0]",1561971287
ada compliant bathroom accessories,89,89,30,69.06,1.85,https://bestbath.com/,0,0,0,1,1980000,"[14,14,14,100,43,57,14,14,14,14,43,14]",1561581424
corner shower curtain rod,44,44,2400,82.85,0.75,https://bestbath.com/product/corner-curtain-rod-kits/,0,0,0,1,82,"[100,83,83,83,83,83,83,83,66,83,66,83]",1560959058
walk in bathroom shower enclosures,76,76,20,83.42,3.94,https://bestbath.com/,0,0,0,0.81,5970000,"[33,67,0,33,0,33,33,33,100,33,33,33]",1561774859
72 by 32 bathtub,65,65,20,74.38,1,https://bestbath.com/products/tubs/shower-tub-combos/,0,0,0,1,27500000,"[100,100,100,50,0,50,50,50,50,50,50,50]",1561794050
30 x 48 shower enclosure,46,46,30,82.02,0.52,https://bestbath.com/products/showers/36-x-36-showers/,0,0,0,0.99,7830000,"[20,40,20,20,20,20,20,100,20,80,20,20]",1561595854
hot tub surround kits,76,76,170,73.12,1.46,https://bestbath.com/products/tub-surrounds/,0,0,0,1,9170000,"[81,100,100,100,65,54,35,27,35,42,27,65]",1561068970
luters plumbing in tylertown ms,22,22,40,68.65,0,https://bestbath.com/dealer/luters-supply-co-inc-showroom/,0,0,0,0,84,"[100,25,0,50,0,0,0,0,0,0,0,0]",1561522272
walk in tubs ny,59,59,50,51.84,52.61,https://bestbath.com/,0,0,0,0.81,9680000,"[20,80,20,100,40,40,80,100,20,60,100,20]",1562626845
trench pan drainage system,33,33,20,73.18,0,https://bestbath.com/bestbath-trench-drains/,0,0,0,1,2400000,"[22,100,11,11,11,22,44,11,11,11,78,11]",1562075117
tile shower systems,57,57,170,67.13,0.88,https://bestbath.com/,0,0,0,1,42200000,"[54,65,35,42,54,54,54,65,65,100,81,65]",1561075117
ada residential bathroom,97,97,260,71.42,4.5,https://bestbath.com/case-studies/,0,0,0,1,14000000,"[100,100,100,100,100,100,100,66,52,66,81,81]",1561024305
walking ramps for home,62,62,20,80.01,0.6,https://bestbath.com/add-indoor-outdoor-ramp/,0,0,0,1,115000000,"[60,20,20,40,20,40,40,20,20,20,100,100]",1561799359
what is a 75 bath,26,26,140,82.44,0,https://bestbath.com/product/single-piece-tub-shower-60-x-32-x-75-showertub-combo-lsts6032cp/,0,0,0,0,872000000,"[33,43,24,52,43,67,52,67,100,100,100,100]",1561117206
one liner shower pan,31,31,50,83.16,0.76,https://bestbath.com/types-shower-pans/,0,0,0,1,7210000,"[20,20,20,20,60,20,20,20,100,100,20,20]",1562612391
34 x 30,57,57,110,87.71,2.34,https://bestbath.com/shop/multi-piece-barrier-free-34x48x80-125-shower/,0,0,0,0.12,7990000000,"[52,67,43,43,52,52,52,67,67,67,100,52]",1561119396
premade shower pans for tile,33,33,110,73.83,1.38,https://bestbath.com/types-shower-pans/,0,0,0,1,214000,"[82,65,52,41,41,52,52,82,82,82,100,100]",1561123942
corner shower bathroom designs,96,96,30,83.37,0,https://bestbath.com/,0,0,0,0.89,35500000,"[11,11,78,11,11,56,11,100,11,11,11,22]",1561640146
solid surface spec section,78,78,40,59.81,0,https://bestbath.com/wp-content/uploads/2016/01/5LES6042.pdf,0,0,0,0,34700000,"[0,11,11,44,11,11,22,11,11,44,22,100]",1561545541
65 x 42,58,48,70,75.89,0,https://bestbath.com/products/showers/pans/,0,0,0,0,1600000000,"[100,11,11,33,11,11,22,11,11,78,11,78]",1562765033
cast iron shower pan 60 x 30,22,22,30,83.74,2.43,https://bestbath.com/products/showers/pans/,0,0,0,1,6250000,"[33,0,100,33,33,33,0,0,0,33,33,33]",1561576992
how to hook up a shower,50,50,40,86.31,0,https://bestbath.com/bestbath-resources/installation-instructions-videos/,0,0,0,0.56,124000000,"[100,14,14,29,14,14,14,14,14,29,29,14]",1561510788
how to install a one piece tub surround,93,93,30,78.78,0.1,https://bestbath.com/products/tub-surrounds/,0,0,0,1,2290000,"[20,20,60,20,20,20,20,40,20,20,60,100]",1562668278
sales kit design inspiration,93,93,40,78.82,0,https://bestbath.com/,0,0,0,0.07,63000000,"[0,33,33,33,0,0,33,0,100,33,33,33]",1561542972
how to replace a fiberglass shower pan with tile walls,26,26,20,88.81,0.05,https://bestbath.com/types-shower-pans/,0,0,0,1,3150000,"[10,14,5,43,14,10,100,10,5,5,43,5]",1561824490
current bath,15,15,30,77.72,0,https://bestbath.com/products/tubs/walk-in-tubs/,0,0,0,0.94,748000000,"[0,0,0,0,0,0,33,33,33,100,33,67]",1561639199
elevate for windows,42,42,50,68.58,0,https://bestbath.com/elevate-bathroom-right-windows/,0,0,0,0,98500000,"[0,29,0,14,29,0,14,14,0,100,14,14]",1561375875
60x32 tub,23,23,30,78.59,1.75,https://bestbath.com/product/single-piece-tub-shower-32x60x72-showertub-combo-4/,0,0,0,1,58,"[29,100,2,2,2,5,2,19,2,15,29,8]",1561582138
prop 65 certification letter,70,70,20,62.83,0,https://bestbath.com/prop-65/,0,0,0,0.25,6290000,"[0,0,0,50,50,50,100,50,50,50,50,50]",1562024193
40 x 79,66,66,20,73.62,0,https://bestbath.com/product/single-piece-curbed-36x36x79-shower/,0,0,0,0,3520000000,"[14,14,14,100,29,14,29,14,29,29,14,14]",1561831423
shower dam for handicapped shower,12,12,40,64.22,0,https://bestbath.com/waterstopper/,0,0,0,0,1180000,"[33,33,67,33,33,33,100,0,33,33,0,0]",1561544426
shower pan or tile floor,33,33,70,82.91,0.92,https://bestbath.com/types-shower-pans/,0,0,0,1,12900000,"[44,78,11,11,33,100,11,11,11,22,11,33]",1561235875
delta 54,59,59,140,66.05,0,https://bestbath.com/product/delta-accessory-package-for-54-wide-curbed-showers-kpackr54xxd/,0,0,0,0,410000000,"[65,65,82,100,100,82,65,82,82,65,52,82]",1561106647
6 ft shower base,12,12,20,76.23,0.68,https://bestbath.com/types-shower-pans/,0,0,0,1,28800000,"[11,22,100,11,11,22,11,11,11,11,11,56]",1561797265
6 ft shower base,11,11,20,76.23,0.68,https://bestbath.com/products/showers/pans/,0,0,0,1,28800000,"[11,22,100,11,11,22,11,11,11,11,11,56]",1561797265
shower wall out of plumb,74,74,30,76.82,0,https://bestbath.com/wp-content/uploads/2017/01/1059_MP-Tub-Shwr_LO-RES-Final.pdf,0,0,0,0.56,3640000,"[11,11,11,11,100,11,11,11,11,22,11,11]",1561726895
54 inch shower tub,39,39,50,69.2,0.49,https://bestbath.com/products/tubs/shower-tub-combos/,0,0,0,1,10500000,"[11,33,11,11,44,100,33,11,11,33,11,11]",1562609131
handicap grab bar height,34,34,260,67.36,2.25,https://bestbath.com/products/grab-bars/,0,0,0,0.95,88059,"[67,67,67,54,67,67,82,54,67,82,67,100]",1561025831
shower curtain distributors,72,72,20,59.42,0,https://bestbath.com/,0,0,0,1,6410000,"[11,11,11,11,100,11,11,11,78,11,11,22]",1562049470
corner shower base 32,38,32,70,82.18,0.55,https://bestbath.com/products/showers/pans/,0,0,0,1,27400000,"[50,100,50,50,50,50,50,50,0,50,50,50]",1562777064
tub drain location standard,44,44,20,79.99,0,https://bestbath.com/bestbath-resources/installation-instructions-videos/,0,0,0,0,16200000,"[50,0,50,0,0,0,0,0,100,50,0,0]",1562075925
shower pan sizes for tile,9,9,30,77.14,0.79,https://bestbath.com/types-shower-pans/,0,0,0,1,32600000,"[15,4,4,4,4,8,4,4,8,65,65,100]",1561589646
roll in shower detail,24,24,20,65.5,0,https://bestbath.com/,0,0,0,0.44,30200000,"[14,14,14,14,14,100,14,14,14,14,14,14]",1562037907
77 x 77,90,90,40,80.39,0,https://bestbath.com/product/single-piece-63-x-37-x-77-1-2-shower-beveled-threshold-3-4-curb-height-lcs26337a75b-v2/,0,0,0,0.02,4050000000,"[40,20,60,60,60,20,100,20,20,20,80,20]",1562673670
barrier free shower pans tile ready,8,8,110,73.66,4.26,https://bestbath.com/products/showers/barrier-free/,0,0,2,1,94,"[100,50,64,79,79,100,100,79,36,50,64,79]",1561116970
building a stand up shower,78,78,40,83.95,1.64,https://bestbath.com/faqs/,0,0,0,1,95300000,"[2,3,2,5,54,2,36,2,2,2,100,2]",1561449902
top bathrooms 2017,93,93,30,78.17,0,https://bestbath.com/,0,0,0,0,172000000,"[100,0,0,0,0,0,0,0,0,0,0,0]",1561737443
all home medical supply,17,17,210,69.48,1.24,https://bestbath.com/dealer/home-medical-supply/,0,0,1,0.55,2400000000,"[81,81,52,66,81,66,66,44,34,52,52,100]",1561050302
ada shower chair,58,58,140,76.85,2.28,https://bestbath.com/,0,0,0,1,12600000,"[65,52,82,100,82,82,100,82,82,100,82,100]",1561090417
commercial bath,34,34,110,70.62,1.62,https://bestbath.com/commercial-showers-tubs/,0,0,0,0.93,541000000,"[65,65,52,65,65,65,82,65,52,82,100,82]",1561121219
36 x 36 corner shower pan,14,14,40,84.31,0.63,https://bestbath.com/product/barrier-free-60-x-36-x-4-3-4-corner-shower-pan-traditional-threshold-3-4-curb-height-pc6036b75t/,0,0,0,1,93,"[20,20,20,20,20,100,20,20,100,20,100,40]",1561457322
ada handicap shower requirements,19,19,20,67.17,1.77,https://bestbath.com/products/showers/,0,0,0,0.98,3740000,"[25,25,25,100,25,25,75,50,75,25,25,25]",1561781689
ada handicap shower requirements,18,18,20,67.17,1.77,https://bestbath.com/,0,0,0,0.98,3740000,"[25,25,25,100,25,25,75,50,75,25,25,25]",1561781689
american shower & bath,82,82,20,73.2,0,https://bestbath.com/,0,0,0,1,171000000,"[40,80,100,20,20,20,20,20,20,100,20,20]",1561842724
grab rail installation guidelines,42,42,20,66.63,0,https://bestbath.com/bathroom-safety-features-support-style/,0,0,0,0,4660000,"[100,50,50,0,0,50,50,0,0,50,50,0]",1561924673
handicap bathroom design ideas,40,40,20,75.95,2,https://bestbath.com/products/showers/,0,0,0,1,95,"[20,20,20,20,40,40,20,100,20,80,20,20]",1561779940
right height comfort tub,75,75,20,88.5,0,https://bestbath.com/products/tubs/walk-in-tubs/,0,0,0,0,10500000,"[100,0,0,0,0,0,0,0,0,0,0,0]",1562034498
one piece shower stall with seat,31,31,320,75.54,0.54,https://bestbath.com/who-we-serve/,0,0,0,1,99600000,"[44,54,54,44,81,100,100,44,19,66,44,44]",1561019093
53 1 2 inch bathtub,31,31,90,83.44,0.25,https://bestbath.com/products/tubs/shower-tub-combos/,0,0,0,1,96,"[11,44,11,11,11,0,11,11,11,11,100,11]",1561165913
curbless shower kit,63,63,110,65.84,1.14,https://bestbath.com/,0,0,0,1,340000,"[65,52,52,65,65,41,52,41,29,82,82,100]",1561122671
32 x 42 inch shower pan,27,27,50,77.05,0.62,https://bestbath.com/products/showers/pans/,0,0,0,1,18900000,"[25,75,25,100,25,25,100,25,50,25,50,25]",1562610895
plastic shower pan liner,55,55,30,81.46,1.69,https://bestbath.com/products/showers/pans/,0,0,0,1,5310000,"[22,78,100,56,100,11,11,11,11,11,11,78]",1561589126
mobile home stuff store,21,21,590,82.13,0.75,https://bestbath.com/dealer/mobile-home-stuff-store/,0,0,0,0.28,754000000,"[82,82,82,82,100,100,100,67,44,67,67,82]",1560987012
corner tile soap dish,27,27,50,84.52,0.66,https://bestbath.com/products/accessories/,0,0,0,1,6280000,"[29,14,29,14,100,14,14,71,29,57,14,14]",1562607734
corner ceramic soap dish for tiled showers,33,33,70,79.81,0.85,https://bestbath.com/products/accessories/,0,0,0,1,11200000,"[25,25,50,25,50,25,50,25,100,50,25,25]",1561232900
bone vs biscuit color,42,42,110,69.18,0.18,https://bestbath.com/wp-content/uploads/2017/05/Bestbath-Color-Options.pdf,0,0,0,0.09,7000000,"[79,79,79,79,79,79,100,100,79,64,64,79]",1561136436
shower stalls vancouver,14,14,20,50.71,0,https://bestbath.com/,0,0,0,0,531000,"[0,0,0,0,100,0,0,0,0,0,0,0]",1562047474
replace fiberglass tub shower unit,73,73,20,82.43,0.28,https://bestbath.com/who-we-serve/,0,0,0,1,686000,"[33,0,33,33,33,100,33,33,100,33,67,33]",1561812269
handicap threshold,66,66,170,74.54,0.88,https://bestbath.com/products/showers/,0,0,0,1,24100000,"[52,100,81,81,81,81,81,81,81,67,81,81]",1561071442
raised shower floor for plumbing,8,8,20,73.55,0.68,https://bestbath.com/wp-content/uploads/2018/07/Form2026_AboveRoughFloorPan_NewBrand2015_FINAL.pdf,0,0,0,1,11400000,"[3,1,4,1,6,100,1,1,1,1,7,4]",1561797447
metal soap dish for tile shower,41,41,20,86.07,0.31,https://bestbath.com/product/recessed-soap-dish/,0,0,0,1,30700000,"[50,50,50,50,50,50,100,50,100,50,100,50]",1561809003
shower stall or bathtub,85,85,30,79.51,2.31,https://bestbath.com/who-we-serve/,0,0,0,0.97,21100000,"[11,78,100,11,11,11,11,22,11,22,11,78]",1561575806
34 shower kit,69,69,30,83.89,0.87,https://bestbath.com/products/showers/need-it-now/,0,0,0,1,98800000,"[44,11,11,22,100,11,33,11,11,11,22,11]",1561588456
30 x 40 shower base,12,12,50,79.34,0.93,https://bestbath.com/products/showers/pans/,0,0,0,1,121000000,"[3,3,3,8,5,3,3,3,3,100,3,82]",1562613926
turn stand up shower into tub,43,43,90,77.32,0.74,https://bestbath.com/faqs/,0,0,0,1,22100000,"[100,29,14,14,14,14,100,71,14,14,14,14]",1561162972
jay and dan top 10,78,78,40,88.15,0,https://bestbath.com/dealer-quarter-jay-k-lumber-new-hartford-ny/,0,0,0,0,130000000,"[0,14,0,100,100,14,14,0,14,0,14,0]",1561515387
fiberglass shower stall with seat,26,26,30,82.37,0.69,https://bestbath.com/,0,0,0,1,2260000,"[9,9,9,18,18,9,82,9,9,18,100,9]",1561589380
flushing trench drain,46,46,70,60.98,0,https://bestbath.com/wp-content/uploads/2017/07/1053_MPShwr-wTrench.pdf,0,0,0,0.81,2970000,"[0,0,0,0,11,11,11,11,11,100,11,22]",1562685660
42 x 32 x 25,96,96,20,86.03,0,https://bestbath.com/products/showers/pans/,0,0,0,0,4830000000,"[33,11,44,100,11,11,11,0,0,78,0,0]",1561831773
shower solutions usa,50,50,20,67.1,1.82,https://bestbath.com/,0,0,0,0.93,58000000,"[20,20,20,20,20,20,20,20,20,20,100,20]",1561781032
shower garden tub,12,12,70,84.86,0.6,https://bestbath.com/products/tubs/garden-tubs/,0,0,0,1,223000000,"[14,43,29,14,29,14,57,29,29,29,43,100]",1562778196
best bath barrier free shower,8,8,20,57.32,4.65,https://bestbath.com/,0,0,0,1,11600000,"[20,60,20,60,20,20,20,20,20,20,100,60]",1561772439
best bath barrier free shower,3,3,20,57.32,4.65,https://bestbath.com/product/multi-piece-barrier-free-30x60x80-25-shower-11/,0,0,1,1,11600000,"[20,60,20,60,20,20,20,20,20,20,100,60]",1561772439
best bath barrier free shower,6,6,20,57.32,4.65,https://bestbath.com/product/barrier-free-60-x-36-shower-pan-beveled-threshold-34-curb-height-p6036b75b/,0,0,0,1,11600000,"[20,60,20,60,20,20,20,20,20,20,100,60]",1561772439
best bath barrier free shower,7,7,20,57.32,4.65,https://bestbath.com/products/showers/pans/,0,0,0,1,11600000,"[20,60,20,60,20,20,20,20,20,20,100,60]",1561772439
best bath barrier free shower,4,4,20,57.32,4.65,https://bestbath.com/product/delta-accessory-package-for-60-wide-barrier-free-showers-kpackb60xxd/,0,0,1,1,11600000,"[20,60,20,60,20,20,20,20,20,20,100,60]",1561772439
best bath barrier free shower,2,2,20,57.32,4.65,https://bestbath.com/products/,0,0,2,1,11600000,"[20,60,20,60,20,20,20,20,20,20,100,60]",1561772439
best bath barrier free shower,5,5,20,57.32,4.65,https://bestbath.com/products/showers/,0,0,0,1,11600000,"[20,60,20,60,20,20,20,20,20,20,100,60]",1561772439
37x3,43,43,140,73.69,0,https://bestbath.com/width-x-depth-x-height/63x37x3/,0,0,0,0,4660000,"[67,52,33,33,52,67,100,81,81,100,81,100]",1561102857
roll in shower conversion kit,23,23,50,59.42,1.47,https://bestbath.com/,0,0,0,0.67,5180000,"[100,33,33,67,33,33,33,0,33,67,33,100]",1562615847
shower drain install,95,95,2400,76.03,2.95,https://bestbath.com/wp-content/uploads/2017/01/1051_Multi-Pc-Shwr-NoCrops_103116.pdf,0,0,0,0.92,21077,"[83,83,66,83,66,66,66,83,66,83,83,100]",1560960414
next shower,58,58,90,87.12,0,https://bestbath.com/4-reasons-consider-shower-pan-next-bathroom-remodel/,0,0,0,1,1480000000,"[25,75,25,25,25,25,100,25,25,100,25,25]",1561198848
soap dish for shower,75,75,2400,87.47,1.09,https://bestbath.com/products/accessories/,0,0,0,1,79800000,"[100,100,83,100,100,83,100,83,83,83,83,83]",1560962586
shower bed for disabled,62,62,140,64.55,0.87,https://bestbath.com/,0,0,0,1,129000000,"[28,34,44,34,44,66,100,34,28,28,34,28]",1561093561
3 piece acrylic tub shower unit,52,52,70,77.22,2.44,https://bestbath.com/who-we-serve/,0,0,0,1,42900000,"[11,44,11,11,11,11,11,11,100,22,11,11]",1561228483
installing acrylic shower base on concrete floor,27,27,40,83.38,0,https://bestbath.com/wp-content/uploads/2018/07/Form2026_AboveRoughFloorPan_NewBrand2015_FINAL.pdf,0,0,0,0.77,872000,"[14,0,14,14,0,29,14,29,43,100,29,43]",1561514982
slot drain installation,62,62,40,58.08,2.31,https://bestbath.com/bestbath-trench-drains/,0,0,0,0.97,26700000,"[80,20,60,20,20,100,100,20,20,20,20,20]",1561447897
how to fit a shower base,46,46,20,82.61,0,https://bestbath.com/types-shower-pans/,0,0,0,0,103000000,"[50,50,100,50,50,0,0,100,50,50,50,50]",1561945230
what does roll in shower mean,19,19,20,68.02,0,https://bestbath.com/,0,0,0,0.01,57900000,"[100,22,11,11,44,11,11,11,22,11,11,11]",1562090060
shower and tub next to each other,80,80,50,83.25,0,https://bestbath.com/product-gallery/,0,0,0,0.69,90100000,"[57,100,14,14,43,14,43,14,14,14,29,14]",1561423334
drop in shower kit,28,28,20,84.86,0.46,https://bestbath.com/,0,0,0,1,88600000,"[100,14,71,14,29,14,57,57,29,14,43,14]",1561803266
freestanding shower chair,56,56,50,82.27,0.46,https://bestbath.com/,0,0,0,1,11300000,"[14,14,14,29,100,14,14,43,29,14,14,14]",1562609530
bathroom shower accessories,40,40,170,90.58,1.37,https://bestbath.com/products/accessories/,0,0,0,1,249000000,"[81,67,52,67,67,52,81,81,81,100,81,100]",1561068818
bathroom window trim ideas,33,0,70,77.93,0.27,https://bestbath.com/window-trim-kits-3/,0,0,0,1,40800000,"[43,14,100,29,14,14,29,29,29,29,14,14]",1562773533
tile over shower base,40,40,110,83.91,1.29,https://bestbath.com/types-shower-pans/,0,0,0,1,111000000,"[52,65,41,52,100,65,52,82,65,100,65,82]",1561122010
handicap walk in tubs,46,46,170,70.87,8.72,https://bestbath.com/,0,0,0,1,10400000,"[81,67,52,100,52,81,52,81,81,81,67,81]",1561065427
american standard shower valve installation instructions,43,43,20,73.95,0,https://bestbath.com/bestbath-resources/installation-instructions-videos/,0,0,0,0.2,3380000,"[11,11,44,44,11,33,11,100,11,11,11,11]",1561842123
tile over acrylic shower pan,14,14,30,80.5,2.41,https://bestbath.com/types-shower-pans/,0,0,0,1,3630000,"[14,43,14,14,100,14,57,14,14,29,14,100]",1561578396
corner shower stalls for small bathrooms,66,66,1000,86.43,0.74,https://bestbath.com/,0,0,0,1,2870000,"[84,68,68,68,100,100,84,52,25,38,21,21]",1560974582
36 shower enclosure,46,46,20,83.95,0.81,https://bestbath.com/products/showers/36-x-36-showers/,0,0,0,1,67,"[33,33,100,33,100,67,33,100,33,33,33,33]",1561795393
3 piece shower with seat,26,26,30,76.12,0.68,https://bestbath.com/wp-content/uploads/2017/01/1059_MP-Tub-Shwr_LO-RES-Final.pdf,0,0,0,1,257000000,"[20,20,20,20,40,20,20,100,20,40,20,20]",1561590653
handicap bathroom requirements,54,54,210,72.04,5.19,https://bestbath.com/wp-content/uploads/2017/05/14-Key-Code-Issues.pdf,0,0,0,0.28,1070000000,"[54,44,44,100,67,44,44,36,36,54,54,54]",1561047428
shower unit dimensions,45,45,20,81.09,0.33,https://bestbath.com/,0,0,0,1,28200000,"[11,11,11,11,33,33,11,11,56,11,33,100]",1561811126
narrow shower curb,63,63,20,74.17,0.66,https://bestbath.com/products/tubs/shower-tub-combos/,0,0,0,1,7000000,"[100,40,20,40,20,20,20,40,20,20,20,20]",1561800224
jets shower curtain,51,50,40,88.06,0.14,https://bestbath.com/product/heavy-duty-vinyl-shower-curtain/,0,0,0,1,20600000,"[11,11,22,11,11,22,11,78,100,11,22,44]",1562755102
3x6 bathroom layouts,64,64,30,79.25,0,https://bestbath.com/products/showers/pans/,0,0,0,0.2,590000,"[0,0,0,0,0,0,20,20,20,20,100,20]",1561612551
1 piece tub and shower,7,7,20,75.08,0.67,https://bestbath.com/product/single-piece-tub-shower-32x60x72-showertub-combo-2/,0,0,0,1,270000000,"[14,100,14,14,43,14,14,14,14,29,29,14]",1561798271
